no,city,country,continent,caseName,regionLabel,type,typeName,typeShortName,spatialStrategyKeyword,concept,columnDate,columnTopic,sourceAuthor,sourceTitle,sourcePublisher,sourceUrl,apa
1,피게레스,스페인,유럽,달리 극장미술관,스페인,T5,건축 실험과 감각 경험,건축실험,예술가 성지화,예술가 자기연출형 미술관,2026.02.12,초현실주의의 거대한 무대,이상훈,초현실주의의 거대한 무대… 피게레스 달리 극장미술관,부산일보,https://www.busan.com/view/busan/view.php?code=2026021217095653845,"이상훈. (2026, 2월 12일). 초현실주의의 거대한 무대… 피게레스 달리 극장미술관. 부산일보. https://www.busan.com/view/busan/view.php?code=2026021217095653845"
2,프라하,체코,유럽,루돌피눔·드보르자크 홀,체코,T1,음악도시와 공연장,음악도시,제국-민족 전환 공연장,제국→민족국가 전환 공연장,2026.01.29,역사·음악 결절점,이상훈,프라하 역사·음악 어우러진 드보르자크 홀,부산일보,https://www.busan.com/view/busan/view.php?code=2026012918064819313,"이상훈. (2026, 1월 29일). 프라하 역사·음악 어우러진 드보르자크 홀. 부산일보. https://www.busan.com/view/busan/view.php?code=2026012918064819313"
3,부다페스트,헝가리,유럽,무파·버르토크 홀,헝가리,T3,산업유산과 도시재생,도시재생,문화지구 앵커,문화지구 재생 앵커형,2026.01.15,현대 문화정책 상징,이상훈,"부다페스트 무파, 버르토크 벨라 콘서트홀에서 만난 넵트랩코",부산일보,https://www.busan.com/view/busan/view.php?code=2026011517550699051,"이상훈. (2026, 1월 15일). 부다페스트 무파, 버르토크 벨라 콘서트홀에서 만난 넵트랩코. 부산일보. https://www.busan.com/view/busan/view.php?code=2026011517550699051"
4,스페이사이드,영국(스코틀랜드),유럽,매캘란 에스테이트,스코틀랜드,T4,재단·기업·컬렉션 기반 문화공간,재단·기업·컬렉션,F&B 문화공간화,F&B 문화공간화,2026.01.01,산업이 문화가 되다,이상훈,"매캘란 에스테이트, 시그니처가 된 위스키 양조장",부산일보,https://www.busan.com/view/busan/view.php?code=2026010117450964467,"이상훈. (2026, 1월 1일). 매캘란 에스테이트, 시그니처가 된 위스키 양조장. 부산일보. https://www.busan.com/view/busan/view.php?code=2026010117450964467"
5,아비뇽,프랑스,유럽,아비뇽 교황청,프랑스,T3,산업유산과 도시재생,도시재생,유산-현대 접합,유산-현대미술 접합,2025.12.18,유산과 현대 설치 공명,이상훈,아비뇽서 만난 오토니엘… 유수의 도시에 열린 코스모스,부산일보,https://www.busan.com/view/busan/view.php?code=2025121817342248624,"이상훈. (2025, 12월 18일). 아비뇽서 만난 오토니엘… 유수의 도시에 열린 코스모스. 부산일보. https://www.busan.com/view/busan/view.php?code=2025121817342248624"
6,바르셀로나,스페인,유럽,카탈루냐 음악당,스페인,T1,음악도시와 공연장,음악도시,민족주의 건축,민족주의 건축 상징,2025.12.04,음악을 시각화한 건축,이상훈,"음악을 시각적으로 구현한 공간, 카탈루냐 음악당",부산일보,https://www.busan.com/view/busan/view.php?code=2025120416510926667,"이상훈. (2025, 12월 4일). 음악을 시각적으로 구현한 공간, 카탈루냐 음악당. 부산일보. https://www.busan.com/view/busan/view.php?code=2025120416510926667"
7,칼페,스페인,유럽,라 무랄라 로하,스페인,T5,건축 실험과 감각 경험,건축실험,공동체 건축 실험,기하학 공동체 실험,2025.11.20,공동주택 유토피아 실험,이상훈,리카르도 보필의 공동주택 ‘라 무랄라 로하’,부산일보,https://www.busan.com/view/busan/view.php?code=2025112018090431704,"이상훈. (2025, 11월 20일). 리카르도 보필의 공동주택 ‘라 무랄라 로하’. 부산일보. https://www.busan.com/view/busan/view.php?code=2025112018090431704"
8,멕시코시티,멕시코,중남미,바스콘셀로스 도서관,멕시코,T4,재단·기업·컬렉션 기반 문화공간,재단·기업·컬렉션,사회적 건축,사회적 건축 모델,2025.11.06,지식의 민주화 건축,이상훈,공공건축의 걸작 멕시코시티 바스콘셀로스 도서관,부산일보,https://www.busan.com/view/busan/view.php?code=2025110617593686448,"이상훈. (2025, 11월 6일). 공공건축의 걸작 멕시코시티 바스콘셀로스 도서관. 부산일보. https://www.busan.com/view/busan/view.php?code=2025110617593686448"
9,오슬로,노르웨이,유럽,오슬로 오페라하우스,노르웨이,T3,산업유산과 도시재생,도시재생,워터프론트 재생,워터프론트 재생 상징,2025.10.23,도시 공공재 예술,이상훈,자연에서 사회로… 도시 공공재로서 오슬로 오페라하우스,부산일보,https://www.busan.com/view/busan/view.php?code=2025102316120605355,"이상훈. (2025, 10월 23일). 자연에서 사회로… 도시 공공재로서 오슬로 오페라하우스. 부산일보. https://www.busan.com/view/busan/view.php?code=2025102316120605355"
10,포트워스,미국,북미,킴벨 미술관,미국,T5,건축 실험과 감각 경험,건축실험,자연광 미술관,자연광 중심 경험형,2025.10.09,빛의 건축 미학,이상훈,"모더니즘 최후의 거장이 남긴 걸작, 킴벨 아트 뮤지엄",부산일보,https://www.busan.com/view/busan/view.php?code=2025100918020563999,"이상훈. (2025, 10월 9일). 모더니즘 최후의 거장이 남긴 걸작, 킴벨 아트 뮤지엄. 부산일보. https://www.busan.com/view/busan/view.php?code=2025100918020563999"
11,프로방스,프랑스,유럽,샤토 라코스테,프랑스,T4,재단·기업·컬렉션 기반 문화공간,재단·기업·컬렉션,예술-와이너리 융합,예술-와이너리 융합,2025.09.25,와이너리 복합화,이상훈,"샤토 라코스테, 와이너리에서 만나는 건축과 현대미술",부산일보,https://www.busan.com/view/busan/view.php?code=2025092516404222975,"이상훈. (2025, 9월 25일). 샤토 라코스테, 와이너리에서 만나는 건축과 현대미술. 부산일보. https://www.busan.com/view/busan/view.php?code=2025092516404222975"
