번호,연도,날짜(YYYY-MM-DD),저자,제목,매체,URL,APA 7판(한국어),주제(연구분류용)
1,2026,2026-02-12,이상훈,초현실주의의 거대한 무대… 피게레스 달리 극장미술관,부산일보,https://www.busan.com/view/busan/view.php?code=2026021217095653845,"이상훈. (2026, 2월 12일). 초현실주의의 거대한 무대… 피게레스 달리 극장미술관. 부산일보. https://www.busan.com/view/busan/view.php?code=2026021217095653845",
2,2026,2026-01-29,이상훈,프라하 역사·음악 어우러진 드보르자크 홀,부산일보,https://www.busan.com/view/busan/view.php?code=2026012918064819313,"이상훈. (2026, 1월 29일). 프라하 역사·음악 어우러진 드보르자크 홀. 부산일보. https://www.busan.com/view/busan/view.php?code=2026012918064819313",
3,2026,2026-01-15,이상훈,"부다페스트 무파, 버르토크 벨라 콘서트홀에서 만난 넵트랩코",부산일보,https://www.busan.com/view/busan/view.php?code=2026011517550699051,"이상훈. (2026, 1월 15일). 부다페스트 무파, 버르토크 벨라 콘서트홀에서 만난 넵트랩코. 부산일보. https://www.busan.com/view/busan/view.php?code=2026011517550699051",
4,2026,2026-01-01,이상훈,"매캘란 에스테이트, 시그니처가 된 위스키 양조장",부산일보,https://www.busan.com/view/busan/view.php?code=2026010117450964467,"이상훈. (2026, 1월 1일). 매캘란 에스테이트, 시그니처가 된 위스키 양조장. 부산일보. https://www.busan.com/view/busan/view.php?code=2026010117450964467",
5,2025,2025-12-18,이상훈,아비뇽서 만난 오토니엘… 유수의 도시에 열린 코스모스,부산일보,https://www.busan.com/view/busan/view.php?code=2025121817342248624,"이상훈. (2025, 12월 18일). 아비뇽서 만난 오토니엘… 유수의 도시에 열린 코스모스. 부산일보. https://www.busan.com/view/busan/view.php?code=2025121817342248624",
6,2025,2025-12-04,이상훈,"음악을 시각적으로 구현한 공간, 카탈루냐 음악당",부산일보,https://www.busan.com/view/busan/view.php?code=2025120416510926667,"이상훈. (2025, 12월 4일). 음악을 시각적으로 구현한 공간, 카탈루냐 음악당. 부산일보. https://www.busan.com/view/busan/view.php?code=2025120416510926667",
7,2025,2025-11-20,이상훈,리카르도 보필의 공동주택 ‘라 무랄라 로하’,부산일보,https://www.busan.com/view/busan/view.php?code=2025112018090431704,"이상훈. (2025, 11월 20일). 리카르도 보필의 공동주택 ‘라 무랄라 로하’. 부산일보. https://www.busan.com/view/busan/view.php?code=2025112018090431704",
8,2025,2025-11-06,이상훈,공공건축의 걸작 멕시코시티 바스콘셀로스 도서관,부산일보,https://www.busan.com/view/busan/view.php?code=2025110617593686448,"이상훈. (2025, 11월 6일). 공공건축의 걸작 멕시코시티 바스콘셀로스 도서관. 부산일보. https://www.busan.com/view/busan/view.php?code=2025110617593686448",
9,2025,2025-10-23,이상훈,자연에서 사회로… 도시 공공재로서 오슬로 오페라하우스,부산일보,https://www.busan.com/view/busan/view.php?code=2025102316120605355,"이상훈. (2025, 10월 23일). 자연에서 사회로… 도시 공공재로서 오슬로 오페라하우스. 부산일보. https://www.busan.com/view/busan/view.php?code=2025102316120605355",
10,2025,2025-10-09,이상훈,"모더니즘 최후의 거장이 남긴 걸작, 킴벨 아트 뮤지엄",부산일보,https://www.busan.com/view/busan/view.php?code=2025100918020563999,"이상훈. (2025, 10월 9일). 모더니즘 최후의 거장이 남긴 걸작, 킴벨 아트 뮤지엄. 부산일보. https://www.busan.com/view/busan/view.php?code=2025100918020563999",
11,2025,2025-09-25,이상훈,"샤토 라코스테, 와이너리에서 만나는 건축과 현대미술",부산일보,https://www.busan.com/view/busan/view.php?code=2025092516404222975,"이상훈. (2025, 9월 25일). 샤토 라코스테, 와이너리에서 만나는 건축과 현대미술. 부산일보. https://www.busan.com/view/busan/view.php?code=2025092516404222975",
12,2025,2025-09-11,이상훈,건축가들의 연속된 문장으로 진화 중인 휴스턴 미술관,부산일보,https://www.busan.com/view/busan/view.php?code=2025091117534183037,"이상훈. (2025, 9월 11일). 건축가들의 연속된 문장으로 진화 중인 휴스턴 미술관. 부산일보. https://www.busan.com/view/busan/view.php?code=2025091117534183037",
